cricsheet_match_id,match_date,event_name,competition_type,venue,city,team_1,team_2,espn_match_id_candidate,espn_legacy_match_url_candidate,espn_match_id_verified,espn_match_url_verified,espn_linkage_status,source_search_query,source_url,source_title,published_at_utc,accessed_at_utc,pre_match_verified,coder_id,coder_confidence,pitch_primary_category,batting_ease,pace_seam_support,spin_support,bounce_profile,two_paced_expected,dew_expected,short_paraphrased_note,exclusion_reason
1358089,2023-03-12,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,United Arab Emirates,1358089,https://www.espncricinfo.com/ci/engine/match/1358089.html,,,unverified_candidate,"site:espncricinfo.com ""Nepal"" ""United Arab Emirates"" ""2023-03-12"" preview pitch conditions",,,,,,,,,,,,,,,,
1358091,2023-03-15,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,United Arab Emirates,1358091,https://www.espncricinfo.com/ci/engine/match/1358091.html,,,unverified_candidate,"site:espncricinfo.com ""Papua New Guinea"" ""United Arab Emirates"" ""2023-03-15"" preview pitch conditions",,,,,,,,,,,,,,,,
1348656,2023-03-17,Australia tour of India,bilateral_series,"Wankhede Stadium, Mumbai",Mumbai,Australia,India,1348656,https://www.espncricinfo.com/ci/engine/match/1348656.html,,,unverified_candidate,"site:espncricinfo.com ""Australia"" ""India"" ""2023-03-17"" preview pitch conditions",,,,,,,,,,,,,,,,
1339602,2023-03-18,West Indies tour of South Africa,bilateral_series,"Buffalo Park, East London",East London,West Indies,South Africa,1339602,https://www.espncricinfo.com/ci/engine/match/1339602.html,,,unverified_candidate,"site:espncricinfo.com ""West Indies"" ""South Africa"" ""2023-03-18"" preview pitch conditions",,,,,,,,,,,,,,,,
1355717,2023-03-18,Ireland tour of Bangladesh,bilateral_series,Sylhet International Cricket Stadium,Sylhet,Bangladesh,Ireland,1355717,https://www.espncricinfo.com/ci/engine/match/1355717.html,,,unverified_candidate,"site:espncricinfo.com ""Bangladesh"" ""Ireland"" ""2023-03-18"" preview pitch conditions",,,,,,,,,,,,,,,,
1348657,2023-03-19,Australia tour of India,bilateral_series,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India,Australia,1348657,https://www.espncricinfo.com/ci/engine/match/1348657.html,,,unverified_candidate,"site:espncricinfo.com ""India"" ""Australia"" ""2023-03-19"" preview pitch conditions",,,,,,,,,,,,,,,,
1339603,2023-03-21,West Indies tour of South Africa,bilateral_series,"Senwes Park, Potchefstroom",Potchefstroom,West Indies,South Africa,1339603,https://www.espncricinfo.com/ci/engine/match/1339603.html,,,unverified_candidate,"site:espncricinfo.com ""West Indies"" ""South Africa"" ""2023-03-21"" preview pitch conditions",,,,,,,,,,,,,,,,
1362379,2023-03-21,Netherlands tour of Zimbabwe,bilateral_series,Harare Sports Club,Harare,Zimbabwe,Netherlands,1362379,https://www.espncricinfo.com/ci/engine/match/1362379.html,,,unverified_candidate,"site:espncricinfo.com ""Zimbabwe"" ""Netherlands"" ""2023-03-21"" preview pitch conditions",,,,,,,,,,,,,,,,
1348658,2023-03-22,Australia tour of India,bilateral_series,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Australia,India,1348658,https://www.espncricinfo.com/ci/engine/match/1348658.html,,,unverified_candidate,"site:espncricinfo.com ""Australia"" ""India"" ""2023-03-22"" preview pitch conditions",,,,,,,,,,,,,,,,
1355719,2023-03-23,Ireland tour of Bangladesh,bilateral_series,Sylhet International Cricket Stadium,Sylhet,Ireland,Bangladesh,1355719,https://www.espncricinfo.com/ci/engine/match/1355719.html,,,unverified_candidate,"site:espncricinfo.com ""Ireland"" ""Bangladesh"" ""2023-03-23"" preview pitch conditions",,,,,,,,,,,,,,,,
1362380,2023-03-23,Netherlands tour of Zimbabwe,bilateral_series,Harare Sports Club,Harare,Zimbabwe,Netherlands,1362380,https://www.espncricinfo.com/ci/engine/match/1362380.html,,,unverified_candidate,"site:espncricinfo.com ""Zimbabwe"" ""Netherlands"" ""2023-03-23"" preview pitch conditions",,,,,,,,,,,,,,,,
1322359,2023-03-25,Sri Lanka tour of New Zealand,bilateral_series,"Eden Park, Auckland",Auckland,New Zealand,Sri Lanka,1322359,https://www.espncricinfo.com/ci/engine/match/1322359.html,,,unverified_candidate,"site:espncricinfo.com ""New Zealand"" ""Sri Lanka"" ""2023-03-25"" preview pitch conditions",,,,,,,,,,,,,,,,
1362381,2023-03-25,Netherlands tour of Zimbabwe,bilateral_series,Harare Sports Club,Harare,Netherlands,Zimbabwe,1362381,https://www.espncricinfo.com/ci/engine/match/1362381.html,,,unverified_candidate,"site:espncricinfo.com ""Netherlands"" ""Zimbabwe"" ""2023-03-25"" preview pitch conditions",,,,,,,,,,,,,,,,
1365092,2023-03-26,ICC Cricket World Cup Qualifier Play-off,qualification_pathway,"Wanderers Cricket Ground, Windhoek",Windhoek,United States of America,Namibia,1365092,https://www.espncricinfo.com/ci/engine/match/1365092.html,,,unverified_candidate,"site:espncricinfo.com ""United States of America"" ""Namibia"" ""2023-03-26"" preview pitch conditions",,,,,,,,,,,,,,,,
1365093,2023-03-27,ICC Cricket World Cup Qualifier Play-off,qualification_pathway,"Wanderers Cricket Ground, Windhoek",Windhoek,United Arab Emirates,Papua New Guinea,1365093,https://www.espncricinfo.com/ci/engine/match/1365093.html,,,unverified_candidate,"site:espncricinfo.com ""United Arab Emirates"" ""Papua New Guinea"" ""2023-03-27"" preview pitch conditions",,,,,,,,,,,,,,,,
