cricsheet_match_id,match_date,event_name,competition_type,venue,city,team_1,team_2,source_search_query,source_url,source_title,accessed_at_utc,scheduled_start_local,timezone_name,scheduled_start_utc,start_time_status,verifier_id,verification_note,exclusion_reason
1263163,2021-07-26,Australia tour of West Indies,bilateral_series,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,Australia,"""West Indies"" ""Australia"" ""2021-07-26"" scheduled start time",,,,,,,pending,,,
1271627,2021-09-02,South Africa tour of Sri Lanka,bilateral_series,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,South Africa,"""Sri Lanka"" ""South Africa"" ""2021-09-02"" scheduled start time",,,,,,,pending,,,
1276293,2021-09-06,Papua New Guinea v United States of America ODI Series,other_odi,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Papua New Guinea,United States of America,"""Papua New Guinea"" ""United States of America"" ""2021-09-06"" scheduled start time",,,,,,,pending,,,
1271629,2021-09-07,South Africa tour of Sri Lanka,bilateral_series,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,South Africa,"""Sri Lanka"" ""South Africa"" ""2021-09-07"" scheduled start time",,,,,,,pending,,,
1276295,2021-09-07,Nepal v Papua New Guinea ODI Series,other_odi,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Papua New Guinea,Nepal,"""Papua New Guinea"" ""Nepal"" ""2021-09-07"" scheduled start time",,,,,,,pending,,,
1272379,2021-09-08,Zimbabwe tour of Ireland and Scotland,bilateral_series,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Zimbabwe,Ireland,"""Zimbabwe"" ""Ireland"" ""2021-09-08"" scheduled start time",,,,,,,pending,,,
1276294,2021-09-09,Papua New Guinea v United States of America ODI Series,other_odi,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,United States of America,Papua New Guinea,"""United States of America"" ""Papua New Guinea"" ""2021-09-09"" scheduled start time",,,,,,,pending,,,
1276296,2021-09-10,Nepal v Papua New Guinea ODI Series,other_odi,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,Papua New Guinea,"""Nepal"" ""Papua New Guinea"" ""2021-09-10"" scheduled start time",,,,,,,pending,,,
1275249,2021-09-13,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United States of America,Nepal,"""United States of America"" ""Nepal"" ""2021-09-13"" scheduled start time",,,,,,,pending,,,
1275250,2021-09-14,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,Oman,"""Nepal"" ""Oman"" ""2021-09-14"" scheduled start time",,,,,,,pending,,,
1275251,2021-09-16,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United States of America,Oman,"""United States of America"" ""Oman"" ""2021-09-16"" scheduled start time",,,,,,,pending,,,
1275253,2021-09-19,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,Nepal,"""Oman"" ""Nepal"" ""2021-09-19"" scheduled start time",,,,,,,pending,,,
1275255,2021-09-25,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Papua New Guinea,Scotland,"""Papua New Guinea"" ""Scotland"" ""2021-09-25"" scheduled start time",,,,,,,pending,,,
1275256,2021-09-26,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman,Papua New Guinea,"""Oman"" ""Papua New Guinea"" ""2021-09-26"" scheduled start time",,,,,,,pending,,,
1275257,2021-09-28,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Scotland,Oman,"""Scotland"" ""Oman"" ""2021-09-28"" scheduled start time",,,,,,,pending,,,
1275258,2021-09-29,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Papua New Guinea,Scotland,"""Papua New Guinea"" ""Scotland"" ""2021-09-29"" scheduled start time",,,,,,,pending,,,
1275259,2021-10-01,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Papua New Guinea,Oman,"""Papua New Guinea"" ""Oman"" ""2021-10-01"" scheduled start time",,,,,,,pending,,,
1290881,2021-11-26,ICC Men's Cricket World Cup League 2,qualification_pathway,"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia,Oman,"""Namibia"" ""Oman"" ""2021-11-26"" scheduled start time",,,,,,,pending,,,
1277085,2022-01-08,Ireland tour of United States of America and West Indies,bilateral_series,"Sabina Park, Kingston, Jamaica",Kingston,West Indies,Ireland,"""West Indies"" ""Ireland"" ""2022-01-08"" scheduled start time",,,,,,,pending,,,
1277087,2022-01-16,Ireland tour of United States of America and West Indies,bilateral_series,"Sabina Park, Kingston, Jamaica",Kingston,West Indies,Ireland,"""West Indies"" ""Ireland"" ""2022-01-16"" scheduled start time",,,,,,,pending,,,
1294969,2022-01-16,Zimbabwe tour of Sri Lanka,bilateral_series,Pallekele International Cricket Stadium,Kandy,Zimbabwe,Sri Lanka,"""Zimbabwe"" ""Sri Lanka"" ""2022-01-16"" scheduled start time",,,,,,,pending,,,
